Img_ID,Split,basename,ImageWidth,ImageHeight,is_background,n_ships
0,Train,t_14154.jpg,1000,1000,False,4
3,Train,t_8019.jpg,1000,1000,False,1
8,Train,t_5467.jpg,2000,2000,False,12
10,Train,t_14876.jpg,1000,1000,False,1
22,Train,t_16454.jpg,1000,1000,False,8
23,Train,t_16365.jpg,800,600,False,1
24,Train,t_10966.jpg,800,600,False,2
29,Train,t_15012.jpg,800,600,False,1
40,Train,t_5211.jpg,600,800,False,1
41,Train,t_9987.jpg,1000,1000,False,3
42,Train,t_7971.jpg,1000,1000,False,1
54,Train,t_15496.jpg,600,800,False,6
56,Train,t_8622.jpg,1000,1000,False,2
57,Train,t_11103.jpg,800,600,False,1
58,Train,t_15376.jpg,600,800,False,3
61,Train,t_3331.jpg,600,800,False,3
65,Train,t_10812.jpg,1000,1000,False,1
70,Train,t_10546.jpg,1000,1000,False,3
72,Train,t_14083.jpg,600,800,False,1
74,Train,t_796.jpg,1000,1000,False,1
77,Train,t_3433.jpg,600,800,False,1
78,Train,t_8945.jpg,1000,1000,False,1
79,Train,t_4162.jpg,600,800,False,3
83,Train,t_3068.jpg,600,800,False,1
86,Train,t_15184.jpg,800,600,False,1
87,Train,t_14407.jpg,800,600,True,0
88,Train,t_5692.jpg,800,600,False,3
90,Train,t_5663.jpg,800,600,False,1
92,Train,t_12796.jpg,800,600,False,1
99,Train,t_12006.jpg,1000,1000,False,2
102,Train,t_13783.jpg,800,600,False,13
105,Train,t_16403.jpg,800,600,False,1
106,Train,t_13882.jpg,800,600,True,0
108,Train,t_12120.jpg,800,600,False,3
109,Train,t_10283.jpg,800,600,False,11
110,Train,t_1618.jpg,1500,1500,False,6
112,Train,t_4115.jpg,600,800,False,2
113,Train,t_841.jpg,1500,1500,False,24
122,Train,t_6792.jpg,1000,1000,False,4
125,Train,t_14414.jpg,1000,1000,True,0
130,Train,t_1434.jpg,1500,1500,False,35
135,Train,t_2797.jpg,600,800,False,2
136,Train,t_1190.jpg,1500,1500,False,9
139,Train,t_4146.jpg,1000,1000,False,9
140,Train,t_13513.jpg,1000,1000,False,1
150,Train,t_9938.jpg,600,800,False,7
151,Train,t_2615.jpg,800,600,False,5
154,Train,t_4035.jpg,600,800,False,9
158,Train,t_7179.jpg,1000,1000,False,2
160,Train,t_33.jpg,1500,1500,False,2
162,Train,t_8970.jpg,1000,1000,False,3
163,Train,t_14274.jpg,800,600,False,1
165,Train,t_1153.jpg,1000,1000,True,0
167,Train,t_14645.jpg,1000,1000,False,2
169,Train,t_671.jpg,1500,1500,False,17
170,Train,t_1110.jpg,1500,1500,False,2
171,Train,t_8012.jpg,1000,1000,False,9
172,Train,t_15247.jpg,600,800,False,1
175,Train,t_5025.jpg,600,800,False,3
176,Train,t_10918.jpg,800,600,False,1
179,Train,t_15921.jpg,1000,1000,False,1
181,Train,t_6403.jpg,600,800,False,1
188,Train,t_4998.jpg,600,800,False,4
190,Train,t_13821.jpg,800,600,False,2
191,Train,t_5478.jpg,600,800,False,1
196,Train,t_13600.jpg,800,600,False,2
203,Train,t_5258.jpg,600,800,False,1
204,Train,t_520.jpg,1500,1500,False,1
216,Train,t_5546.jpg,800,600,False,1
226,Train,t_5952.jpg,600,800,False,47
228,Train,t_13509.jpg,1000,1000,False,63
229,Train,t_12614.jpg,1000,1000,True,0
232,Train,t_505.jpg,1500,1500,False,2
235,Train,t_12697.jpg,800,600,False,1
236,Train,t_4420.jpg,600,800,False,9
237,Train,t_16305.jpg,1000,1000,False,1
238,Train,t_8864.jpg,1000,1000,False,4
243,Train,t_6530.jpg,800,600,False,2
248,Train,t_7442.jpg,1000,1000,False,2
250,Train,t_2975.jpg,1000,1000,False,1
257,Train,t_5708.jpg,1000,1000,False,8
261,Train,t_7286.jpg,1000,1000,False,1
282,Train,t_90.jpg,1500,1500,False,1
283,Train,t_761.jpg,1500,1500,False,2
285,Train,t_12730.jpg,600,800,False,11
286,Train,t_9373.jpg,800,600,False,1
287,Train,t_16172.jpg,600,800,False,3
288,Train,t_5318.jpg,1000,1000,True,0
289,Train,t_672.jpg,1500,1500,False,1
291,Train,t_697.jpg,1500,1500,False,29
293,Train,t_15061.jpg,1000,1000,True,0
294,Train,t_6869.jpg,600,800,False,2
296,Train,t_1013.jpg,1000,1000,False,1
300,Train,t_14583.jpg,1000,1000,False,3
303,Train,t_8285.jpg,1000,1000,False,1
307,Train,t_14271.jpg,1000,1000,False,1
311,Train,t_6590.jpg,800,600,False,6
321,Train,t_11555.jpg,600,800,True,0
322,Train,t_1219.jpg,1500,1500,False,12
323,Train,t_6635.jpg,1000,1000,False,1
326,Train,t_6630.jpg,800,600,False,7
327,Train,t_12827.jpg,1000,1000,False,2
329,Train,t_9120.jpg,800,600,False,1
331,Train,t_5198.jpg,1000,1000,False,6
340,Train,t_9708.jpg,800,600,False,1
342,Train,t_707.jpg,1000,1000,False,1
344,Train,t_8427.jpg,600,800,False,15
345,Train,t_13443.jpg,800,600,False,2
346,Train,t_9608.jpg,600,800,False,1
347,Train,t_483.jpg,1500,1500,False,33
350,Train,t_13886.jpg,600,800,False,4
354,Train,t_8192.jpg,600,800,False,5
355,Train,t_3939.jpg,4000,4000,False,104
358,Train,t_15543.jpg,2000,2000,False,1
360,Train,t_15155.jpg,1000,1000,True,0
361,Train,t_617.jpg,1000,1000,False,10
365,Train,t_10642.jpg,1000,1000,False,1
367,Train,t_10922.jpg,1000,1000,True,0
377,Train,t_7247.jpg,1000,1000,True,0
378,Train,t_892.jpg,1500,1500,False,5
379,Train,t_11927.jpg,600,800,True,0
380,Train,t_1913.jpg,1000,1000,False,6
386,Train,t_11539.jpg,1000,1000,False,6
387,Train,t_6903.jpg,1000,1000,False,1
390,Train,t_10275.jpg,800,600,False,1
393,Train,t_12603.jpg,1000,1000,False,60
397,Train,t_13061.jpg,800,600,False,1
398,Train,t_6654.jpg,1000,1000,False,2
401,Train,t_5287.jpg,1000,1000,False,2
402,Train,t_14070.jpg,800,600,False,2
407,Train,t_15550.jpg,1000,1000,True,0
409,Train,t_15149.jpg,1000,1000,False,2
411,Train,t_7627.jpg,900,900,True,0
420,Train,t_3597.jpg,1000,1000,False,6
421,Train,t_3641.jpg,1000,1000,False,1
422,Train,t_15562.jpg,600,800,False,6
423,Train,t_7424.jpg,1000,1000,False,1
424,Train,t_11868.jpg,1000,1000,False,3
432,Train,t_13418.jpg,600,800,False,16
436,Train,t_2485.jpg,1000,1000,False,4
437,Train,t_15243.jpg,1000,1000,False,13
438,Train,t_3646.jpg,800,600,False,8
442,Train,t_10046.jpg,1000,1000,False,7
443,Train,t_8477.jpg,800,600,False,3
445,Train,t_5828.jpg,800,600,False,1
447,Train,t_11186.jpg,1000,1000,False,14
451,Train,t_3011.jpg,600,800,False,4
454,Train,t_2533.jpg,600,800,False,1
457,Train,t_1783.jpg,1000,1000,False,5
460,Train,t_1039.jpg,1500,1500,False,60
461,Train,t_5582.jpg,1000,1000,False,1
468,Train,t_7994.jpg,1000,1000,False,1
473,Train,t_12982.jpg,800,600,False,2
474,Train,t_10126.jpg,1000,1000,False,2
479,Train,t_427.jpg,1500,1500,False,1
484,Train,t_15865.jpg,800,600,False,1
488,Train,t_9555.jpg,1000,1000,False,1
499,Train,t_13744.jpg,1000,1000,False,2
503,Train,t_1578.jpg,1500,1500,False,17
504,Train,t_4525.jpg,800,600,False,1
506,Train,t_14873.jpg,800,600,False,1
513,Train,t_11967.jpg,7000,7000,False,3
516,Train,t_13828.jpg,800,600,True,0
517,Train,t_4270.jpg,1000,1000,False,2
519,Train,t_4318.jpg,1000,1000,False,1
521,Train,t_16157.jpg,600,800,False,5
524,Train,t_11874.jpg,800,600,True,0
525,Train,t_141.jpg,1500,1500,False,1
531,Train,t_11768.jpg,800,600,False,2
536,Train,t_16426.jpg,600,800,False,1
540,Train,t_9311.jpg,1000,1000,False,33
544,Train,t_4473.jpg,800,600,False,1
547,Train,t_6333.jpg,600,800,False,3
548,Train,t_14152.jpg,800,600,False,3
549,Train,t_11916.jpg,1000,1000,False,1
